Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Unnamed: 6,Student Name
7,99,Yes,9,1,91,,Navneet Dhillon
4,82,No,4,2,65,,Simran Kaur
8,51,Yes,7,2,45,,Saba Khan
5,52,Yes,5,2,36,,Harleen Kaur
7,75,No,8,5,66,,Imran Qureshi
3,78,No,9,6,61,,Ananya Joshi
7,73,Yes,5,6,63,,Hina Parveen
8,45,Yes,4,6,42,,Saanvi Patel
5,77,No,8,2,61,,Lakshya Verma
4,89,No,4,0,69,,Khushi Rathi
8,91,No,4,5,84,,Ayesha khan
8,79,No,6,2,73,,Zayan Ali
3,47,No,9,2,27,,Isha Saxena
6,47,No,4,2,33,,Faizan Ahmad
5,79,No,7,8,68,,Wahid khan
2,72,No,4,3,43,,Sheenam khan
8,73,Yes,8,4,67,,Meher Jahan
6,83,Yes,7,2,70,,Riya Sharma
2,54,Yes,4,9,30,,Areeba Siddiqui
5,75,No,7,0,63,,Zoya Khan
1,99,Yes,4,3,71,,Nathan Gomes
6,96,No,9,0,85,,Vivaan Mehta
9,74,Yes,7,6,73,,Ishaan Tripathi
1,85,No,5,6,57,,Harnoor Brar
3,61,No,6,3,35,,Ayesha Fatima
7,62,Yes,7,4,49,,Gurpreet Bedi
4,79,No,8,9,66,,Manvir Sandhu
9,84,Yes,6,6,83,,Jasleen Bajwa
3,94,Yes,6,5,74,,Sarah Joseph
5,90,Yes,4,3,74,,Ayaan Khan
3,61,Yes,7,3,39,,Arjun Singh
7,44,Yes,9,1,36,,Grace DCosta
5,70,Yes,6,9,58,,Kirandeep Grewal
9,52,Yes,8,1,47,,Harsimran Gill
7,67,Yes,9,3,60,,Sana Qureshi
2,97,Yes,9,4,74,,Krish Choudhary
4,59,No,8,3,42,,Aaron Fernandes
9,72,No,8,2,68,,Eliza Francis
2,55,Yes,4,1,32,,Rehan Siddiqui
9,68,No,5,3,64,,Aarav Sharma
5,62,No,7,4,45,,Sarah Joseph
2,63,Yes,6,0,39,,Lakshya Verma
4,73,Yes,7,0,58,,Navneet Dhillon
7,46,No,9,5,36,,Aarav Sharma
8,77,Yes,6,4,71,,Jasleen Bajwa
